PLAYER,2022-2023,2023-2024,2024-2025,2025-2026
Stephen Curry,48070014,51915615,55761217,59606817
John Wall,47345760,0,0,0
Russell Westbrook,47080179,0,0,0
LeBron James,44474988,46698737,50434636,0
Kevin Durant,44119845,47649433,51179020,54708608
Bradley Beal,43279250,46741590,50203930,53666270
Paul George,42492492,45640084,48787676,0
Kawhi Leonard,42492492,45640084,48787676,0
Giannis Antetokounmpo,42492492,45640084,48787676,51935268
Damian Lillard,42492492,45640084,48787676,58545211
Klay Thompson,40600080,43219440,0,0
Kyrie Irving,38917057,0,0,0
Rudy Gobert,38172414,41000000,43827586,46655173
Khris Middleton,37984276,40396552,0,0
Anthony Davis,37980720,40600080,43219440,0
Jimmy Butler,37653300,45183960,48798677,52413394
Tobias Harris,37633050,39270150,0,0
Kemba Walker,37281261,0,0,0
Trae Young,37096500,40064220,43031940,45999660
Zach LaVine,37096500,40064220,43031940,45999660
Luka Doncic,37096500,40064220,43031940,45999660
Ben Simmons,35448672,37893408,40338144,0
Pascal Siakam,35448672,37893408,0,0
Myles Turner,35096500,20975000,19928500,0
Karl-Anthony Towns,33833400,36016200,50050000,54054000
Devin Booker,33833400,36016200,50050000,54054000
Kristaps Porzingis,33833400,36016200,0,0
Jrue Holiday,33665040,36158747,38652454,0
Joel Embiid,33616770,46900000,50652000,54404000
Andrew Wiggins,33616770,24330357,26276786,28223215
CJ McCollum,33333333,35802469,33333333,30666666
Nikola Jokic,33047803,46550000,50274000,53998000
James Harden,33000000,35640000,0,0
Jamal Murray,31650600,33833400,36016200,0
Brandon Ingram,31650600,33833400,36016200,0
D'Angelo Russell,31377750,0,0,0
Michael Porter,30913750,33386850,35859950,38333050
Shai Gilgeous-Alexander,30913750,33386850,35859950,38333050
Donovan Mitchell,30913750,33162030,35410310,37096620
Deandre Ayton,30913750,32459438,34005126,35550814
Kevin Love,30556968,0,0,0
Jayson Tatum,30351780,32600060,34848340,37096620
Bam Adebayo,30351780,32600060,34848340,37096620
De'Aaron Fox,30351780,32600060,34848340,37096620
Gordon Hayward,30075000,31500000,0,0
Jaren Jackson Jr,28946605,27102202,25257798,23413395
Jaylen Brown,28741071,30723214,0,0
Chris Paul,28400000,30800000,30800000,0
Kyle Lowry,28333334,29682540,0,0
Jalen Brunson,27733332,26346666,24960001,24960001
DeMar DeRozan,27300000,28600000,0,0
Al Horford,26500000,10000000,9500000,0
Draymond Green,25806468,27586224,0,0
Julius Randle,23760000,25660800,27561600,29462400
John Collins,23500000,25340000,26580000,26580000
Mike Conley,22680000,24360000,0,0
Malcolm Brogdon,22600000,22500000,22500000,0
Anfernee Simons,22321429,24107143,25892857,27678571
Nikola Vucevic,22000000,0,0,0
Terry Rozier,21486316,23205221,24924126,26643031
Fred VanVleet,21250000,22824074,0,0
Buddy Hield,21177750,19279841,0,0
Jerami Grant,20955000,0,0,0
Mikal Bridges,20100000,21700000,23300000,24900000
Jarrett Allen,20000000,20000000,20000000,20000000
Nicolas Batum,19700319,11710818,0,0
Aaron Gordon,19690909,21266182,22841455,22841455
Tim Hardaway Jr,19602273,17897728,16193183,0
Eric Gordon,19568360,20917902,0,0
Bojan Bogdanovic,19550000,20000000,19032850,0
Lonzo Ball,19534884,20465117,21395348,0
Spencer Dinwiddie,19500000,20357143,0,0
Danilo Gallinari,19479000,6802950,0,0
Caris LeVert,18796296,0,0,0
Clint Capela,18706896,21116000,22765280,0
Joe Harris,18642857,19928571,0,0
Domantas Sabonis,18500000,19400000,0,0
Harrison Barnes,18352273,0,0,0
Evan Fournier,18000000,18857143,19000000,0
Bogdan Bogdanovic,18000000,18700000,17260000,16020000
Steven Adams,17926829,12600000,12600000,0
Gary Trent Jr,17505000,18785000,0,0
Jonathan Isaac,17400000,17400000,17400000,0
OG Anunoby,17357143,18642857,19928571,0
Marcus Smart,17207142,18583713,19960285,21336856
Mitchell Robinson,17045454,15681818,14318182,12954546
Duncan Robinson,16902000,18154000,19406000,19888000
Derrick White,16892857,18107143,19321429,0
Norman Powell,16758621,18000000,19241379,20482758
Dejounte Murray,16571120,17714000,0,0
Collin Sexton,16500000,17325000,18150000,18975000
Markelle Fultz,16500000,17000000,0,0
Lauri Markkanen,16475454,17259999,18044544,0
Marcus Morris,16372093,17116279,0,0
Davis Bertans,16000000,17000000,16000000,0
Jusuf Nurkic,15625000,16875000,18125000,19375000
Malik Beasley,15558035,16524106,0,0
Luguentz Dort,15277778,15277778,16500000,17722222
Will Barton,15059712,0,0,0
Tyus Jones,15000000,14000000,0,0
Jonas Valanciunas,14700000,15435000,0,0
Derrick Rose,14520730,15596339,0,0
Kevin Huerter,14508929,15669643,16830357,17991071
Christian Wood,14317459,0,0,0
Wendell Carter,14150000,13050000,11950000,10850000
Kentavious Caldwell-Pope,14004703,14704938,15440185,0
Brook Lopez,13906976,0,0,0
Patrick Beverley,13801614,0,0,0
Doug McDermott,13750000,13750000,0,0
Luke Kennard,13745455,14763636,14763636,0
Zion Williamson,13534817,33500000,36180000,38860000
Jordan Clarkson,13340000,14260000,0,0
Gary Harris,13000000,13000000,0,0
Kyle Kuzma,13000000,13000000,0,0
Josh Hart,12960000,12960000,0,0
Dorian Finney-Smith,12939848,13932008,14924167,15378480
Kelly Olynyk,12804878,12195122,0,0
Chris Boucher,12690000,11750000,10810000,0
Kelly Oubre,12600000,0,0,0
Marvin Bagley,12500000,12500000,12500000,0
Robert Covington,12307692,11692308,0,0
Josh Richardson,12196094,0,0,0
Ja Morant,12119440,33500000,36180000,38860000
Danny Green,11710528,0,0,0
Devonte Graham,11550000,12100000,12650000,0
Terrence Ross,11500000,0,0,0
Reggie Jackson,11457217,0,0,0
Dillon Brooks,11400000,0,0,0
Richaun Holmes,11215260,12046020,12876780,0
Dwight Powell,11080125,0,0,0
Paolo Banchero,11055120,11608080,12160800,15334769
Robert Williams,10937502,11794644,12651786,13508928
RJ Barrett,10900634,23883929,25794643,27705357
Bobby Portis,10843350,11710818,12578286,13445754
DeAndre Jordan,10733758,0,0,0
Anthony Edwards,10733400,13534817,17595263,0
Cade Cunningham,10552800,11055360,13940809,18123052
PJ Tucker,10490000,11014500,11539000,0
Derrick Favors,10350803,0,0,0
Mo Bamba,10300000,10300000,0,0
Talen Horton-Tucker,10260000,11020000,0,0
Jae Crowder,10183800,0,0,0
Ivica Zubac,10123457,10933333,11743210,0
Reggie Bullock,10012800,10489600,0,0
Alec Burks,10012800,10489600,0,0
Chet Holmgren,9891240,10386000,10880640,13731368
De'Andre Hunter,9835881,20089286,21696429,23303571
